lat,lon,first_crossing_year
-88.1151832460733,78.75,2041.0
-88.1151832460733,80.0,2041.0
-88.1151832460733,81.25,2041.0
-88.1151832460733,82.5,2041.0
-88.1151832460733,83.75,2041.0
-88.1151832460733,85.0,2041.0
-88.1151832460733,86.25,2041.0
-88.1151832460733,87.5,2041.0
-88.1151832460733,88.75,2041.0
-88.1151832460733,90.0,2041.0
-88.1151832460733,91.25,2041.0
-88.1151832460733,92.5,2041.0
-88.1151832460733,93.75,2041.0
-88.1151832460733,95.0,2041.0
-88.1151832460733,96.25,2041.0
-88.1151832460733,97.5,2041.0
-88.1151832460733,98.75,2041.0
-88.1151832460733,100.0,2041.0
-88.1151832460733,101.25,2041.0
-88.1151832460733,102.5,2041.0
-88.1151832460733,103.75,2041.0
-88.1151832460733,105.0,2041.0
-88.1151832460733,106.25,2041.0
-88.1151832460733,107.5,2041.0
-88.1151832460733,108.75,2041.0
-88.1151832460733,110.0,2041.0
-88.1151832460733,111.25,2041.0
-88.1151832460733,112.5,2041.0
-88.1151832460733,113.75,2041.0
-88.1151832460733,115.0,2041.0
-88.1151832460733,116.25,2041.0
-88.1151832460733,117.5,2041.0
-88.1151832460733,118.75,2041.0
-88.1151832460733,120.0,2041.0
-88.1151832460733,121.25,2041.0
-88.1151832460733,122.5,2041.0
-88.1151832460733,123.75,2041.0
-88.1151832460733,125.0,2041.0
-88.1151832460733,126.25,2041.0
-88.1151832460733,127.5,2041.0
-88.1151832460733,128.75,2041.0
-88.1151832460733,130.0,2041.0
-88.1151832460733,131.25,2041.0
-88.1151832460733,132.5,2041.0
-88.1151832460733,133.75,2041.0
-88.1151832460733,135.0,2041.0
-88.1151832460733,136.25,2041.0
-88.1151832460733,137.5,2041.0
-88.1151832460733,138.75,2041.0
-88.1151832460733,140.0,2041.0
-88.1151832460733,141.25,2041.0
-88.1151832460733,142.5,2041.0
-88.1151832460733,143.75,2041.0
-88.1151832460733,145.0,2041.0
-88.1151832460733,146.25,2041.0
-88.1151832460733,147.5,2041.0
-88.1151832460733,148.75,2041.0
-88.1151832460733,150.0,2041.0
-88.1151832460733,151.25,2041.0
-88.1151832460733,152.5,2041.0
-88.1151832460733,153.75,2041.0
-88.1151832460733,155.0,2041.0
-88.1151832460733,156.25,2041.0
-88.1151832460733,157.5,2041.0
-88.1151832460733,158.75,2041.0
-88.1151832460733,160.0,2041.0
-88.1151832460733,161.25,2041.0
-88.1151832460733,162.5,2041.0
-88.1151832460733,163.75,2041.0
-88.1151832460733,165.0,2041.0
-88.1151832460733,166.25,2041.0
-88.1151832460733,167.5,2041.0
-88.1151832460733,168.75,2041.0
-88.1151832460733,170.0,2041.0
-88.1151832460733,171.25,2041.0
-88.1151832460733,172.5,2041.0
-88.1151832460733,173.75,2041.0
-88.1151832460733,175.0,2041.0
-88.1151832460733,176.25,2041.0
-88.1151832460733,177.5,2041.0
-88.1151832460733,178.75,2041.0
-88.1151832460733,180.0,2041.0
-88.1151832460733,181.25,2041.0
-88.1151832460733,182.5,2041.0
-88.1151832460733,183.75,2041.0
-88.1151832460733,185.0,2041.0
-88.1151832460733,186.25,2041.0
-88.1151832460733,187.5,2041.0
-88.1151832460733,188.75,2041.0
-88.1151832460733,190.0,2041.0
-88.1151832460733,191.25,2041.0
-88.1151832460733,192.5,2041.0
-88.1151832460733,193.75,2041.0
-88.1151832460733,195.0,2041.0
-88.1151832460733,196.25,2041.0
-88.1151832460733,197.5,2041.0
-88.1151832460733,198.75,2041.0
-88.1151832460733,200.0,2041.0
-88.1151832460733,201.25,2041.0
-88.1151832460733,202.5,2041.0
-88.1151832460733,203.75,2041.0
-88.1151832460733,205.0,2041.0
-88.1151832460733,206.25,2041.0
-88.1151832460733,207.5,2041.0
-88.1151832460733,208.75,2041.0
-88.1151832460733,210.0,2041.0
-88.1151832460733,211.25,2041.0
-88.1151832460733,212.5,2041.0
-88.1151832460733,213.75,2041.0
-88.1151832460733,215.0,2041.0
-88.1151832460733,216.25,2041.0
-88.1151832460733,217.5,2041.0
-88.1151832460733,218.75,2041.0
-88.1151832460733,220.0,2041.0
-88.1151832460733,221.25,2041.0
-88.1151832460733,222.5,2041.0
-88.1151832460733,223.75,2041.0
-88.1151832460733,225.0,2041.0
-88.1151832460733,226.25,2041.0
-88.1151832460733,227.5,2041.0
-88.1151832460733,228.75,2041.0
-88.1151832460733,230.0,2041.0
-88.1151832460733,231.25,2041.0
-88.1151832460733,232.5,2041.0
-88.1151832460733,233.75,2041.0
-88.1151832460733,235.0,2041.0
-88.1151832460733,236.25,2041.0
-88.1151832460733,237.5,2041.0
-88.1151832460733,238.75,2041.0
-88.1151832460733,240.0,2041.0
-88.1151832460733,241.25,2041.0
-88.1151832460733,242.5,2041.0
-88.1151832460733,243.75,2041.0
-88.1151832460733,245.0,2041.0
-88.1151832460733,246.25,2041.0
-88.1151832460733,247.5,2041.0
-88.1151832460733,248.75,2041.0
-88.1151832460733,250.0,2041.0
-88.1151832460733,251.25,2041.0
